"","mean_all","mean_threshold: 4","mean_threshold: 5","mean_threshold: 6"
"CTCF",1.49022503844324,1.47842140305865,1.48949819921477,1.49090659605353
"RAD21",1.76586853165582,1.70202502883848,1.72025852486587,1.7294214020894
"ATF2",0.975742318249257,0.783847112049928,0.777401755004901,0.786481652091436
"ATF3",-0.619358249176649,-0.64695111118079,-0.64278838236942,-0.628912608409216
"BACH1",-0.0353930053008593,-0.106906107229584,-0.107654096270862,-0.111727260391488
"BCL11A",-0.778638537590077,-0.826126755605239,-0.830687050714941,-0.829134963397516
"BRCA1",-0.482364436438223,-0.554988855252788,-0.549624686507264,-0.561593769762385
"BRD2",-1.08738764401708,-1.06523464000337,-1.04794632415007,-1.05356611772625
"BRD4",-1.13976021172661,-1.10779617723486,-1.09542498206893,-1.07582459966819
"CHD1",-0.911715597391557,-0.91925290098528,-0.924070907188778,-0.903755920041561
"CHD2",0.259614485080235,0.133351485326146,0.121087322107413,0.134471135204599
"CHD7",-0.465394136672856,-0.551359919094041,-0.551781929883089,-0.552829381140186
"CREB1",0.67661197050726,0.537016453882633,0.526793913815057,0.519537410578439
"CTBP2",-0.0669407177080459,-0.129688232485812,-0.128786346806693,-0.147207924814178
"E2F6",0.704186659274016,0.619108214098526,0.616198180647695,0.606313374723313
"EGR1",-0.0643535411809658,-0.121518537988485,-0.136170294257156,-0.132866696957546
"EP300",1.39570999531351,1.22841438385846,1.21549959524857,1.21024410446805
"EZH2",-0.894718643158694,-0.894590288931725,-0.900265891980358,-0.888596008902418
"FOSL1",-1.02631912605231,-0.993235716660662,-0.998542374665686,-1.00479375288513
"FOXH1",-0.233092777844951,-0.299787102512603,-0.305046069117855,-0.304497868646359
"FOXM1",-1.07094041322427,-1.04893721277713,-1.03853001709505,-1.05928700195629
"FOXP1",1.14293787101517,1.04528822701362,1.03638543073495,1.0371298810979
"GABPA",0.441939446631379,0.318903358318662,0.311328687373368,0.312459696850371
"GTF2F1",-0.415722021401822,-0.485242538244633,-0.480786873108318,-0.465791574443813
"H2AZ",2.19058035124479,2.20218180911655,2.22260347873347,2.22308709382458
"HDAC2",-0.210917656728175,-0.235529684656893,-0.248641346397018,-0.266126509287362
"HDAC6",-1.13662754823259,-1.07488292323239,-1.12162355270734,-1.08193046292858
"JUN",-0.783556786034919,-0.810048660067241,-0.80571870035594,-0.81612054217964
"JUND",0.875198581986094,0.710125398942267,0.70335718849389,0.705026283400193
"KDM4A",-0.471136139828582,-0.456314325829447,-0.470949351852639,-0.47506124968751
"KDM5A",-0.968271561559786,-0.960568662574792,-0.96221214373189,-0.966811052704284
"KDM5B",-1.14044405499895,-1.10607580920916,-1.09414975132973,-1.13931676774368
"KLF5",-1.04829126711583,-1.03557064469309,-1.03148763237931,-1.03601221776069
"LEF1",-0.571525462793396,-0.634335660681294,-0.628016329260304,-0.634728488295396
"MAFK",0.0955968336700748,0.0342207233623575,0.0336843632982112,0.0461612121826577
"MAX",1.4477948500798,1.29526310108332,1.2932221221356,1.27639979020846
"MED1",-0.785770679044106,-0.840487587285354,-0.834824154388733,-0.815201316810718
"MORC2",-0.943617729612192,-0.93549073388145,-0.937505626246009,-0.949394407173313
"MPHOSPH8",-1.09746450191373,-1.08160594101687,-1.10197190110042,-1.1100497789207
"MXI1",-0.147769570848675,-0.244814070455888,-0.249698926505827,-0.239942869341282
"MYC",-0.341616875083889,-0.420464399757445,-0.408312751978576,-0.409126881630453
"NANOG",2.44319795957187,2.33194726251409,2.31950487076029,2.31535593649924
"NIPBL",1.12184876984027,0.968353911574918,0.943236545088739,0.942143701545456
"NRF1",-0.8410485188341,-0.846143097974958,-0.836617578445482,-0.837320382457027
"OTX2",2.15615545633497,2.01297515011747,1.99780578789842,1.9888778676481
"PHF8",-0.689007433576,-0.661371738206451,-0.66978154253838,-0.670814441987091
"POLR2A",0.426873823428989,0.267703790329642,0.258703907591501,0.267290467014316
"POU5F1",-0.0844431330378522,-0.17080010335654,-0.17349140277832,-0.183095365756001
"PRDM1",-0.935607932308793,-0.9520502156112,-0.953758601933588,-0.924861657656071
"PRDM14",-0.545516644053038,-0.561513158457113,-0.566093889423894,-0.562560407982432
"RBBP5",-0.196499112431871,-0.223201745996423,-0.229332268091156,-0.258694625414103
"REST",0.324518968377522,0.242763670533149,0.236140643370496,0.23176644981206
"RFX5",-0.826839595667443,-0.861483816698057,-0.841286510235029,-0.83571409190692
"RXRA",-0.680426449962369,-0.697771259542796,-0.707616606819841,-0.697457994153041
"SAP30",-0.531266282343066,-0.556769822132966,-0.556322041223842,-0.568067800482022
"SIN3A",0.4294572747562,0.282023610253682,0.27093666468191,0.273726426441862
"SIX5",-0.947806782641251,-0.925676476750941,-0.910712691104187,-0.917701132671369
"SMAD1",-0.94840823178669,-0.929516367088501,-0.92557924549943,-0.930062470013112
"SMAD2",-0.539499147526401,-0.57157217829658,-0.578317030121348,-0.577703922788083
"SMAD3",-0.689899912470521,-0.702401643417046,-0.700329890404999,-0.691792809955505
"SMAD4",-0.478500423403069,-0.551623545516554,-0.548387389357603,-0.545763470828531
"SMARCA4",1.44285271050185,1.24619967582848,1.24030594951776,1.24104707628619
"SMC1A",-0.310995023404669,-0.439991982269612,-0.421563317786847,-0.400482952377292
"SMC3",0.0905501514864541,-0.100529338705388,-0.0856918163130424,-0.0570415455736569
"SOX2",-0.490998857619429,-0.574404548230459,-0.549376770857906,-0.559719802993776
"SP1",0.950387572526603,0.81608102265557,0.803001763324145,0.801776175353222
"SP2",-0.9655592687726,-0.953973248654211,-0.93994883374421,-0.937821262679672
"SP4",0.372171956283627,0.218617414543554,0.210221908608269,0.224242132899379
"SRF",1.17241739295414,0.955701006108942,0.973763469836641,0.98687096781787
"SSU72",0.495301722396151,0.341401905123346,0.341779719515556,0.349371988608959
"SUZ12",-0.910973494465764,-0.912576485821656,-0.9086497221741,-0.902452934412834
"TAF1",-0.484922333330837,-0.508215136817141,-0.512969431148375,-0.513778870762746
"TAF7",0.0867327957694241,-0.00649467221625995,-0.0202095572425294,-0.0200970817082297
"TAFII",-0.810342129422433,-0.829972204038921,-0.823695051852039,-0.826218955717972
"TAL1",-0.90774592952183,-0.889780677187551,-0.910840814772715,-0.896718501105721
"TBP",0.0561926287386344,-0.0298092657104903,-0.0380212922170814,-0.0395192060221181
"TCF12",0.640832662107853,0.527031554201435,0.511305547753279,0.50219967603026
"TCF4",-0.783241090834517,-0.826870397208092,-0.823039081462127,-0.823185255954223
"TCF7L1",-1.11054326407589,-1.07655424748477,-1.06631229463578,-1.08007555474404
"TEAD4",1.82549723289754,1.66517048781996,1.64307405779572,1.64716230126897
"THAP11",-0.997720334828724,-0.96759368174143,-0.942736486373704,-0.943238180826325
"TP53",-1.10900950178992,-1.07369032450618,-1.08141991598505,-1.09172042399787
"TRIM28",1.54358697889439,1.62690157741903,1.60423875175314,1.57036679252914
"USF1",1.27703264808344,1.20002772734981,1.19108000012073,1.18929973395789
"USF2",-0.302401829132979,-0.347413716792512,-0.34795491349272,-0.349252849702499
"YY1",1.77418454670041,1.62654408180717,1.6191666830945,1.59467477268641
"ZFP42",-1.14172229281335,-1.10761529490076,-1.11352910473248,-1.09903388734232
"ZNF143",1.62017065003303,1.46461971095616,1.46437095504051,1.46776474109767
"ZNF274",-0.652194492282472,-0.862027381283071,-0.808771778875592,-0.793718808894745
"ZNF486",-0.679269185986544,-0.594777984693129,-0.589149092820444,-0.627572788278744
